output,prompt
"import React from 'react';
import PropTypes from 'prop-types';

// components
import ModalVideo from 'react-modal-video';

// CSS
import '../../node_modules/react-modal-video/scss/modal-video.scss';

// images

import play from './img/play.svg';

class VideoPlayer extends React.Component {
  constructor() {
    super();
    this.state = {
      isOpen: false,
    };
  }

  openModal = () => {
    this.setState({
      isOpen: true,
    });
  }

  render() {
    return (
      <div className=""video-player"">

        <ModalVideo
          channel=""youtube""
          isOpen={this.state.isOpen}
          videoId={this.props.videoId}
          onClose={() => this.setState({ isOpen: false })}
        />

        <span onClick={this.openModal}>
          <span className=""h2 video-player__text"">Launch Video Player</span>
          <img className=""video-player__icon"" src={play} alt=""play icon"" />
        </span>

      </div>
    );
  }
}

VideoPlayer.propTypes = {
  videoId: PropTypes.string.isRequired,
};

export default VideoPlayer;
","Create a React component that, when clicked, opens a YouTube video player modal. The player should accept a video ID as a prop and should close when the user clicks outside of the modal. Include styling using imported SCSS."
"import React from 'react'
import PropTypes from 'prop-types'

const Counter = ({
  increment, incrementIfOdd, incrementAsync, decrement, counter,
}) => (
  <p>
    Clicked: {counter} times
    {' '}
    <button onClick={increment}>+</button>
    {' '}
    <button onClick={decrement}>-</button>
    {' '}
    <button onClick={incrementIfOdd}>Increment if odd</button>
    {' '}
    <button onClick={() => incrementAsync()}>Increment async</button>
  </p>
)

Counter.propTypes = {
  counter: PropTypes.number.isRequired,
  decrement: PropTypes.func.isRequired,
  increment: PropTypes.func.isRequired,
  incrementAsync: PropTypes.func.isRequired,
  incrementIfOdd: PropTypes.func.isRequired,
}

export default Counter
","Create a React component named ""Counter"" that displays a counter value and provides buttons to increment, decrement, increment only if the counter is odd, and increment asynchronously. Define PropTypes for the counter value and event handlers. Export the component."
"import React from 'react'
import { render } from 'react-dom'
import '../public/style.css'

const App = React.createClass({
  render () {
    return (
      <div className='app'>
        <div className='landing'>
          <h1>svideo</h1>
          <input type='text' placeholder='Search' />
          <a>or Browse All</a>
        </div>
      </div>
    )
  }
})

render(<App />, document.getElementById('app'))
","Create the JSX code for the landing page, which includes a header, search input, and browse all link."
"import React from 'react';

export default class CodeExample extends React.Component {
  render() {
    return (
      <pre className=""cm-s-solarized cm-s-light"">
        <code>
          {this.props.codeText}
        </code>
      </pre>
    );
  }

  componentDidMount() {
    if (CodeMirror === undefined) {
      return;
    }

    CodeMirror.runMode(
      this.props.codeText,
      this.props.mode,
      React.findDOMNode(this).children[0]
    );
  }
}
","Generate a React component that renders a code snippet in a syntax-highlighted theme using CodeMirror, given the code text and the desired mode."
"import React from 'react'

const BurgerIcon = React.createClass({
    propTypes: {
        onClick: React.PropTypes.func.isRequired
    },

    getInitialState() {
        return {hover: false}
    },

    getLineStyle(index) {
        return {
            position: 'absolute',
            height: '20%',
            left: 0,
            right: 0,
            top: 20 * (index * 2) + '%',
            opacity: this.state.hover ? 0.6 : 1
        }
    },

    handleHover() {
        this.setState({hover: !this.state.hover})
    },

    render() {
        const buttonStyle = {
            position: 'absolute',
            left: 0,
            right: 0,
            top: 0,
            bottom: 0,
            margin: 0,
            padding: 0,
            border: 'none',
            fontSize: 14,
            color: 'transparent',
            background: 'transparent',
            outline: 'none',
            cursor: 'pointer'
        }

        return (
            <div className=""rbn-burger-button"" style={{zIndex: 1}}>
                <span className=""rbn-burger-bars"" style={this.getLineStyle(0)}></span>
                <span className=""rbn-burger-bars"" style={this.getLineStyle(1)}></span>
                <span className=""rbn-burger-bars"" style={this.getLineStyle(2)}></span>
                <button onClick={this.props.onClick}
                  onMouseEnter={this.handleHover}
                  onMouseLeave={this.handleHover}
                  style={buttonStyle}>
                    Open Menu
                </button>
            </div>
        )
    }
})

export default BurgerIcon
","Create a React component that renders a hamburger menu icon using SVG. The icon should have three horizontal lines that change opacity when hovered over, and a button that triggers a function when clicked."
"import React, { Component } from 'react';
import reactCSS, { hover } from 'reactcss';
import ReactDOM from 'react-dom';


class HeaderButton extends Component {

    // _onHintTextClick() {
    //     const component = ReactDOM.findDOMNode(this.refs.ButtonComponent);
    //
    //     console.dir(component)
    //     // component.mouseenter();
    // }
    //
    // componentDidMount() {
    //     this.refs.container.addEventListener('mouseenter', ::this._onHintTextClick, false);
    // }
    //
    // componentWillUnmount() {
    //     this.refs.container.removeEventListener('mouseenter', this._onHintTextClick);
    // }

    render() {
        const ButtonComponent = this.props.component;
        const styles = reactCSS({
            'hover': {
                button: {
                    background: this.props.backgroundColor,
                },
            },
        }, this.props, this.state);

        const {
            className,
            style,
            iconStyle,
            ownProps
        } = this.props;


        return (
            <div
                ref=""container""
                className={className}
                style={{
                    transition: 'all 450ms cubic-bezier(0.23, 1, 0.32, 1)',
                    ...style,
                    ...styles.button
                }}
            >
                <ButtonComponent
                    ref=""ButtonComponent""
                    style={iconStyle}
                    {...ownProps}
                />
            </div>
        );
    }
}

export default hover(HeaderButton);
",Describe the logic for a hover effect on a header button component. The button should change background color when the mouse hovers over it.
"import React from 'react';
import TextInputBEM from 'ps-react/TextInputBEM';

/** Required TextBox with error */
export default class ExampleError extends React.Component {
  render() {
    return (
      <TextInputBEM
        htmlId=""example-optional""
        label=""First Name""
        name=""firstname""
        onChange={() => {}}
        required
        error=""First name is required.""
       />
    )
  }
}","Generate a code snippet for a React component that uses the TextBox with an error message. The component should include the following features:
- Label: ""First Name""
- Name: ""firstname""
- Required
- Error message: ""First name is required."""
"import React from 'react'
import { Step } from 'semantic-ui-react'

const StepExampleDescriptions = () => (
  <div>
    <Step.Group>
      <Step>
        <Step.Title>Shipping</Step.Title>
        <Step.Description>Choose your shipping options</Step.Description>
      </Step>
    </Step.Group>

    <br />

    <Step.Group>
      <Step>
        <Step.Title title='Shipping' />
        <Step.Description description='Choose your shipping options' />
      </Step>
    </Step.Group>

    <br />

    <Step.Group>
      <Step title='Shipping' description='Choose your shipping options' />
    </Step.Group>
  </div>
)

export default StepExampleDescriptions
","Create a React code snippet that uses the Semantic UI React library to display a step group with a title and description for each step. The code should demonstrate three different ways to define the title and description: using children, using props, and using a combination of both."
"import _$ from 'jquery';
import React from 'react';
import ReactDOM from 'react-dom';
import TestUtils from 'react-addons-test-utils';
import jsdom from 'jsdom';
import chai, { expect } from 'chai';
import chaiJquery from 'chai-jquery';
import { Provider } from 'react-redux';
import { createStore } from 'redux';
import reducers from '../src/reducers';

global.document = jsdom.jsdom('<!doctype html><html><body></body></html>');
global.window = global.document.defaultView;
global.navigator = global.window.navigator;
const $ = _$(window);

chaiJquery(chai, chai.util, $);

function renderComponent(ComponentClass, props = {}, state = {}) {
  const componentInstance =  TestUtils.renderIntoDocument(
    <Provider store={createStore(reducers, state)}>
      <ComponentClass {...props} />
    </Provider>
  );

  return $(ReactDOM.findDOMNode(componentInstance));
}

$.fn.simulate = function(eventName, value) {
  if (value) {
    this.val(value);
  }
  TestUtils.Simulate[eventName](this[0]);
};

export {renderComponent, expect};
","Provide a function that creates a React component and renders it into a test document. The function should take a component class, props, and initial state as arguments. It should also include a helper function to simulate events on the rendered component."
"import React from 'react';
import {NavLeft, NavRight} from '../../components/Common/Content';



export default class ContentContainer extends React.Component{
  render(){
    return (
      <section className={'content'}>
        <NavLeft {...this.props} />
        <div className={'content__middle'}>
          {this.props.children}
        </div>
        <NavRight {...this.props}/>
      </section>
    )
  }
}
","Create a React component called ""ContentContainer"" that displays three sections: a left navigation, a middle section for child components, and a right navigation."
"'use strict'

import React from 'react'
import { Route, IndexRoute } from 'react-router'
import App from 'containers/App'
import Home from './Home/Home'

import About from './About/About'
import Contact from './Contact/Contact'

import NoMatch from 'containers/NoMatch'

export default (
  <Route path=""/"" component={App}>
    <IndexRoute component={Home} />

    <Route path=""about"" component={About} />
    <Route path=""contact"" component={Contact} />

    <Route path=""*"" component={NoMatch} />
  </Route>
)","Create a React component with multiple routes that direct to specific pages based on the URL. The main page should be the Home page, and there should also be separate About and Contact pages. Include a default Not Found (404) page for URLs that don't match any of the defined routes."
"import test from 'ava'
import buildComponentTest from '../../src/generate/build-component-test'

const expected = `import test from 'ava'
import React from 'react'
import sinon from 'sinon'

import { render } from 'react-dom'
import { renderToStaticMarkup } from 'react-dom/server'
import { Simulate } from 'react-addons-test-utils'

import Awesome from './Awesome'

test('does something awesome', t => {
  const output = renderStatic()
  t.true(output.includes('children'))
})

function renderStatic (props) {
  return renderToStaticMarkup(<Awesome {...props} />)
}

function renderToDiv (props) {
  const div = document.createElement('div')
  render (
    <Awesome {...props}>
      {props.children || 'ohai!'}
    </Awesome>,
    div
  )

  return div
}
`

test('creates component test', t => {
  t.plan(1)

  const output = buildComponentTest('awesome', {
    props: ['foo:number:required', 'bar']
  })

  t.same(output, expected)
})
","Create a component test for the Awesome component with the following props:
- required prop 'foo' of type number
- optional prop 'bar'"
"/* global document */

import { MuiThemeProvider } from 'material-ui/styles';
import { Meteor } from 'meteor/meteor';
import React from 'react';
import { render } from 'react-dom';
import App from '../imports/ui/components/App';

Meteor.startup(() => {
  render(
    <MuiThemeProvider>
      <App />
    </MuiThemeProvider>,
    document.getElementById('app'),
  );
});
",Create a React application that uses Material UI and connect to a Meteor backend. The app should render a top-level component `App` into the `#app` element.
"import React from 'react';
import Paper from 'material-ui/Paper';
import Menu from 'material-ui/Menu';
import MenuItem from 'material-ui/MenuItem';
import { white } from 'material-ui/styles/colors';
import AssignmentLate from 'material-ui/svg-icons/action/assignment-late';
import Work from 'material-ui/svg-icons/action/work';
import NoteAdd from 'material-ui/svg-icons/action/note-add';
import Divider from 'material-ui/Divider';
import { Link } from 'react-router';


const style = {
  paper: {
    position: 'fixed',
    top: 0,
    left: 0,
    zIndex: 100,
    height: '100%',
    width: '224px',
    backgroundColor: '#5E7B8D',
  },
  rightIcon: {
    textAlign: 'center',
    lineHeight: '24px',
  },
  header: {
    display: 'flex',
    marginLeft: '10px',
    marginBottom: '5px',
  },
  headerImg: {
    marginTop: '5px',
    width: '54px',
    height: '54px',
  },
  headerText: {
    color: 'white',
    marginLeft: '8px',
    fontSize: '1.6em',
  },
};

const menuItemStyles = {
  color: 'white',
};

const SideBar = () =>
  <Paper style={style.paper}>
    <div style={style.header}>
      <img src=""logo_sml.png"" role=""presentation"" style={style.headerImg} />
      <h1 style={style.headerText}>JustNUM</h1>
    </div>
    <Menu>
      <MenuItem
        primaryText=""Tasks""
        style={menuItemStyles}
        leftIcon={<AssignmentLate color={white} />}
        containerElement={<Link to=""/authenticated/tasks"" />}
      />
      <MenuItem
        primaryText=""Cases""
        style={menuItemStyles}
        leftIcon={<Work color={white} />}
        containerElement={<Link to=""/authenticated/cases"" />}
      />
      <Divider />
      <MenuItem
        primaryText=""Add Case""
        style={menuItemStyles}
        leftIcon={<NoteAdd color={white} />}
        containerElement={<Link to=""/authenticated/cases/new"" />}
      />
      <Divider />
    </Menu>
  </Paper>;

export default SideBar;
","Design a React component for a vertical sidebar menu with the following specifications:

* Fixed position at the top left corner of the screen
* Height: 100% of the parent container
* Width: 224px
* Background color: #5E7B8D
* Header section with a logo image and the text ""JustNUM""
* Menu with the following options:
    * Tasks (icon: AssignmentLate)
    * Cases (icon: Work)
    * Add Case (icon: NoteAdd)
* Text color for menu items: white
* Divider lines between menu sections"
"import React from 'react'

export default (props) => {
  const project = props.project
  return (
    <div className='project-card card'>
      <h3>Project {project.name}</h3>
      <div className='card-links'>
        {project.url ? <a href={project.url} className='fa fa-desktop' /> : null}
        {project.github_url ? <a href={project.github_url} className='fa fa-github' /> : null}
      </div>
      <p>{project.description}</p>
    </div>
  )
}
","Generate a React component that displays a project card with the following information: name, URL, GitHub URL, and description."
"// @flow
import React from 'react';
import { View } from 'react-native';

// ------------------------
// Javascript Built-Ins
// ------------------------
// Ensure Date.now and new Date() give us the same date for snapshots.
import timekeeper from 'timekeeper';
timekeeper.freeze(new Date(2017, 3, 1, 8, 0, 0));

// ------------------------
// React Native Built-Ins
// ------------------------
// React Native UI Manager needs a focus function.
// $FlowFixMe
import { UIManager } from 'NativeModules';
UIManager.focus = jest.fn();
UIManager.createView = jest.fn(() => <View />);
UIManager.updateView = jest.fn();

// ------------------------
// NPM Modules
// ------------------------
// Provide a manual mock for native modules.
jest.mock('react-native-maps');
","Prepare a testing environment for React Native components by mocking essential dependencies, including Javascript built-ins, React Native built-ins, and NPM modules. Ensure accurate date and time snapshotting and stub essential functions for UI interactions."
"import React from 'react';
import classes from './Counter.scss';

export const Counter = (props) => (
  <div>
    <h2 className={classes.counterContainer}>
      Counter:
      {' '}
      <span className={classes['counter--green']}>
        {props.counter}
      </span>
    </h2>
    <button className=""btn btn-default"" onClick={props.increment}>
      Increment
    </button>
    {' '}
    <button className=""btn btn-default"" onClick={props.doubleAsync}>
      Double (Async)
    </button>
  </div>
);

Counter.propTypes = {
  counter: React.PropTypes.number.isRequired,
  doubleAsync: React.PropTypes.func.isRequired,
  increment: React.PropTypes.func.isRequired
};

export default Counter;
","Generate a React component that displays a counter with increment and double async button handlers. The component should have a counter container with a green counter value and two buttons, one for incrementing and one for doubling the counter asynchronously."
"import React from 'react';
import ItemsTableCell from '../../components/ItemsTableCell';
import ItemsTableValue from '../../components/ItemsTableValue';

var UrlColumn = React.createClass({
	displayName: 'UrlColumn',
	propTypes: {
		col: React.PropTypes.object,
		data: React.PropTypes.object,
	},
	renderValue () {
		var value = this.props.data.fields[this.props.col.path];
		if (!value) return;

		// if the value doesn't start with a prototcol, assume http for the href
		var href = value;
		if (href && !/^(mailto\:)|(\w+\:\/\/)/.test(href)) {
			href = 'http://' + value;
		}

		// strip the protocol from the link if it's http(s)
		var label = value.replace(/^https?\:\/\//i, '');

		return (
			<ItemsTableValue to={href} padded exterior field={this.props.col.type}>
				{label}
			</ItemsTableValue>
		);
	},
	render () {
		return (
			<ItemsTableCell>
				{this.renderValue()}
			</ItemsTableCell>
		);
	},
});

module.exports = UrlColumn;
","Generate a custom React component called ""UrlColumn"" that displays a table cell containing a URL field. The URL field should be clickable and open the link in a new tab or window when clicked. If the URL doesn't specify a protocol (e.g., ""http"" or ""https""), assume ""http"" for the link href. The component should use the provided ""ItemsTableValue"" and ""ItemsTableCell"" components for styling."
"'use strict';

import React from 'react';
import NewChoiceInput from './NewChoiceInput';
import { communicateNewPoll } from '../actions/pollActions';

export default class NewPollPage extends React.Component {
  constructor (props) {
    super(props);
    this.state = {
      name: '',
      choices: ['']
    };
  }

  handleTitleChange = (e) => {
    this.setState({ name: e.target.value });
  }

  updateInput = (value, index) => {
    this.setState({
      choices: this.state.choices.map((v, i) => i === index ? value : v)
    });
  }

  addNewChoice = () => {
    this.setState({ choices: [...this.state.choices, ''] });
  }

  deleteChoice = (idx) => {
    this.setState({ choices: this.state.choices.filter((v, i) => i !== idx) });
  }

  submitPoll = () => {
    const newPoll = {
      name: this.state.name,
      choices: this.state.choices.map(val => ({ choice: val, votes: 0 })),
      // dateCreated is set by the server
      owner: this.props.user._id
    };
    const newPollData = communicateNewPoll(newPoll);
    this.props.ws.send(JSON.stringify(newPollData));
    this.props.history.push('/');
  }

  render () {
    return (
      <div className=""app-root"">
        <h1>New Poll</h1>
        <label>
          Title:
          <input type=""text"" value={this.state.name}
            onChange={this.handleTitleChange}
          />
        </label>
        <h4>Options:</h4>
        <button className=""btn"" onClick={this.addNewChoice}>New choice</button>
        <br/>
        {
          this.state.choices.map((choice, idx) => (
            <NewChoiceInput key={idx} idx={idx} val={this.state.choices[idx]}
              updateInput={this.updateInput} deleteChoice={this.deleteChoice}
            />
          ))
        }
        <br/>
        <button className=""btn btn-info"" onClick={this.submitPoll}>Submit</button>
      </div>
    );
  }
}
","Generate a React component that allows a user to create a new poll, including a title and multiple choices. The component should handle user input for both the title and choices, and allow users to add or delete choices as needed. When the user submits the form, the component should send the poll data to a server using a WebSocket connection."
"import './Animal.css';
import React, { Component } from 'react';
import { connect } from 'react-redux';
import { Field, reduxForm } from 'redux-form';
import { Link } from 'react-router-dom';
import { registerAnimal } from '../../../actions/animals';

class AnimalForm extends Component {
  renderField(field) {
    const { meta: { touched, error } } = field;
    const className = '';
    return (
      <div className={className}>
        <input className=""form-control""
          type={field.type}
          placeholder={field.placeholder}
          {...field.input} />
        <div className=""text-help"">
          {touched ? error : ''}
        </div>
      </div>
    );
  }

  onSubmit(values) {
    this.props.registerAnimal(values)
  }

  render() {
    const { handleSubmit } = this.props;
    return (
      <div className={'animalForm'}>
        <h3>Cadastre seu pet</h3>
        <form onSubmit={handleSubmit(this.onSubmit.bind(this))} className={'form-inline'}>
          <Field
            name=""name""
            label=""Nome""
            placeholder=""Nome""
            type=""text""
            component={this.renderField}
          />
          <Field
            name=""id""
            label=""ID""
            placeholder=""ID""
            type=""text""
            component={this.renderField}
          />
          <Field
            name=""age""
            label=""Idade""
            placeholder=""Idade""
            type=""text""
            component={this.renderField}
          />
          <Field
            name=""breed""
            label=""Raça""
            placeholder=""Raça""
            component={this.renderField}
          />
          <button type=""submit"" className=""btn btn-primary"">Entrar</button>
          <Link to=""/"" className=""btn btn-danger"">Cancelar</Link>
        </form>
      </div>

    );
  }
}

export default reduxForm({
    form: 'Animal'
})(
    connect(null, {registerAnimal})(AnimalForm)
);","Generate the code snippet for a React form component that allows users to register a new pet. The form should have fields for the pet's name, ID, age, and breed. When the form is submitted, the pet's information should be sent to the registerAnimal action creator."
"/*! React Starter Kit | MIT License | http://www.reactstarterkit.com/ */

import React, { Component } from 'react';
import styles from './Header.css';
import withStyles from '../../decorators/withStyles';
import Link from '../Link';
import Navigation from '../Navigation';

@withStyles(styles)
class Header extends Component {

  render() {
    return (
      <div className=""Header"">
        <div className=""Header-container"">
          <a className=""Header-brand"" href=""/"" onClick={Link.handleClick}>
            <img className=""Header-brandImg"" src={require('./logo-small.png')} width=""38"" height=""38"" alt=""React"" />
            <span className=""Header-brandTxt"">Your Company</span>
          </a>
          <Navigation className=""Header-nav"" />
          <div className=""Header-banner"">
            <h1 className=""Header-bannerTitle"">React</h1>
            <p className=""Header-bannerDesc"">Complex web apps made easy</p>
          </div>
        </div>
      </div>
    );
  }

}

export default Header;
","Create a React component called ""Header"" that includes a brand logo, navigation links, and a banner with a title and description. Use CSS styles to format the header."
"import React from 'react';
import {Popover} from '@material-ui/core';
import ItemForm from './ItemForm'

export default function FormPopver(props) {
    return (
        <div>
            <Popover
                open={props.open}
                anchorReference={props.anchorReference}
                anchorPosition={props.anchorPosition}
                anchorEl={props.anchorEl}
                onClose={props.onClose}
                anchorOrigin={props.anchorOrigin}
                transformOrigin={props.transformOrigin}
            >
                <ItemForm
                    onClose={props.onClose}
                    onAddItem={props.onAddItem}
                    onEditItem={props.onEditItem}
                    onRemoveItem={props.onRemoveItem}
                    data={props.data}
                    isNewItem={props.isNewItem}
                    startDate={props.startDate}
                    travelObjects={props.travelObjects}
                    isFromSuggestions={props.isFromSuggestions}
                />
            </Popover>
        </div>
    )
}",Create a React component that renders a popover containing a form with the specified props.
"import React from 'react';
import classNames from 'classnames';
import CustomPropTypes from './utils/CustomPropTypes';

const Row = React.createClass({
  propTypes: {
    /**
     * You can use a custom element for this component
     */
    componentClass: CustomPropTypes.elementType
  },

  getDefaultProps() {
    return {
      componentClass: 'div'
    };
  },

  render() {
    let ComponentClass = this.props.componentClass;

    return (
      <ComponentClass {...this.props} className={classNames(this.props.className, 'row')}>
        {this.props.children}
      </ComponentClass>
    );
  }
});

export default Row;
",Create a React component called Row that renders a row element with a custom component class. The component should have a default component class of 'div' and should accept any props passed to it.
